"Ид","Название","Город","Место","Рейтинг","ТРК по БС"
"58876","Special ape services","Санкт-Петербург","356","5183","5477"
"62709","Есть желающие","Вроцлав","357","5169","5184"
"2108","Руна","Гомель","358","5164","5796"
"63760","Пазлы","Астрахань","359","5153","4756"
"51460","Над пропастью Апофеты","Санкт-Петербург","360","5152","6527"
"26712","Impeachment-2","Калининград","361","5151","5942"
"51722","Эстонский экспресс","Минск","362","5147","5658"
"195","Реал-Мордовия","Саранск","363","5145","4902"
"69235","Прекрасна без извилин","Мюнхен","364","5137","5533"
"4728","Браво руля!","Курск","365","5135","0"
"51510","Титаник","Санкт-Петербург","366","5130","5329"
"44533","Alterego","Кишинёв","367","5124","5567"
"56211","Дефект бабочки","Москва","368","5123","6071"
"2469","Puzzle","Ижевск","369","5121","5150"
"56013","Совята","Одесса","370","5121","5956"
"57910","Игры разума","Мюнхен","371","5111","5560"
"42538","Волшебные звёзды 7","Иркутск","372","5105","4862"
"59920","Клуб 512","Берн","373","5105","5486"
"48302","Свитер из-под тоги","Калининград","374","5101","5405"
"37639","Тупо вата","Тюмень","376","5100","5103"
"61910","А жаль","Санкт-Петербург","375","5100","5623"
"72705","Лисы небесные","Москва","377","5095","6295"
"50348","Маеш рацыю","Минск","378","5091","5647"
"3630","Alter orbis","Тверь","379","5087","4888"
"59324","Пин Твикс","Саранск","380","5082","5184"
"2345","Два капитана","Липецк","381","5076","4385"
"1392","28-я проблема Гильберта","Екатеринбург","382","5075","4701"
"51290","Каисса","Улан-Удэ","383","5064","5650"
"38362","Команда с переменной датой","Санкт-Петербург","384","5061","4691"
"2462","Мы","Ташкент","385","5060","5194"
"59318","КАД","Ташкент","386","5057","5604"
"72854","Парадокс Монти Пайтона","Москва","387","5051","6089"
"5858","DimTeam","Ташкент","388","5050","5571"
"52023","КЛТНН","Томск","389","5050","6371"
"46750","Весёлые монахи","Пало-Альто","390","5045","5126"
"53330","Мудрый атом","Глазов","391","5042","5165"
"27610","Абырвалг","Санкт-Петербург","392","5038","4939"
"3149","Приматы","Самара","393","5032","5120"
"5416","Aspers","Минск","394","5029","5229"
"5150","Столичная","Москва","395","5028","0"
"6908","Команда имени Великого Шушпанчика","Ярославль","397","5020","5474"
"8424","Виталия","Калининград","396","5020","5410"
"6967","Комментарии Асгарда","Херсон","398","5018","5095"
"3164","E=mc^2","Рига","399","5016","5110"
"64115","Бес сознания","Москва","400","5014","6091"
"46028","Почти не думаем","Красноярск","401","5007","5189"
"5723","Мантисса","Екатеринбург","402","5005","5472"
"54511","Равновесие Нэша","Санкт-Петербург","404","5003","0"
"72411","Деревья","Новосибирск","403","5003","5967"
"47","Снарк","Долгопрудный","405","5002","4994"
"642","Кипарис","Ришон Ле-Цион","406","4994","5045"
"55668","ТМВППК","Москва","407","4993","5951"
"49888","Палладины","Берлин","408","4991","5977"
"1540","Вологда","Вологда","409","4990","5435"
"1014","Ла Гвардия","Тель-Авив","410","4988","5272"
"1099","Дом","Бостон","411","4984","5316"
"72338","Невыносимая тяжесть быть Иа","Санкт-Петербург","412","4984","5662"
"4985","Neo","Витебск","413","4973","5219"
"4153","Сальвадор вДали","Рига","414","4971","5372"
"27130","Тануна Х","Львов","415","4971","4782"
"46627","Починяем примус","Нижний Новгород","416","4967","5834"
"42252","Pokerface","Кишинёв","417","4961","4886"
"51461","Этнические очистки","Минск","418","4952","5637"
"71595","Я просто медленно пишу","Москва","419","4949","5846"
"2377","Семь пядей","Франкфурт-на-Майне","420","4946","5319"
"5093","ПЛП","Киров","421","4943","5546"
"1510","Шулер","Могилёв","422","4938","0"
"7995","NOP","Киев","423","4931","5670"
"56867","18+","Санкт-Петербург","424","4926","5811"
"4751","Кот да Винчи","Гомель","425","4923","5006"
"51249","Два пальца в нёбо","Москва","426","4922","5913"
"38693","Аркашина каша","Кемерово","427","4921","0"
"49146","28 тысяч белок","Киев","428","4919","5898"
"4795","Большая Берта","Ростов-на-Дону","429","4903","4822"
"38530","И немедленно выиграл","Саров","430","4901","5402"
"3054","Лимпопо","Санкт-Петербург","431","4887","0"
"8329","Песиголовцы","Львов","432","4884","3929"
"65959","МГТУ - Пой, Андрей!","Москва","432,5","4882","Команда с динамическим БС"
"26688","Q-Team","Казань","433","4882","0"
"4228","Выпь","Ростов-на-Дону","434","4881","4079"
"141","Глюк","Астрахань","435","4879","5015"
"48985","Роза ветров","Томск","437","4878","5607"
"55282","Команда памяти сгоревшего сентября","Санкт-Петербург","436","4878","5518"
"58461","Фонд борьбы с Конфуцием","Москва","438","4877","5353"
"54199","Улыбаемся и пашем","Москва","439","4872","4857"
"1183","Умник","Минск","440","4868","4287"
"27684","Brain Art","Алматы","441","4865","5579"
"7991","СКД","Киев","442","4864","3095"
"59419","Кудрявчик и Вахривка","Иркутск","443","4860","5711"
"51508","Кузнецы счастья","Санкт-Петербург","444","4859","5864"
"37782","Фламинго","Санкт-Петербург","445","4845","6058"
"69001","Несите нового","Лимасол","446","4844","5310"
"45807","Тайна перевала котика с боку на бок","Томск","447","4825","5416"
"52701","Сборная ВКЛ","Вильнюс","448","4804","4299"
"51654","Чефирный эксперимент","Одесса","449","4802","6248"
"59641","Восточное экспрессо","Киев","449,5","4796","Команда с динамическим БС"
